track,artist,album
I Am the Abyss,Shylmagoghnar,Emergence
Emergence,Shylmagoghnar,Emergence
Edin in Ashes,Shylmagoghnar,Emergence
This World Shall Fall,Shylmagoghnar,Emergence
Squandered Paradise,Shylmagoghnar,Emergence
Eternal Forest,Shylmagoghnar,Emergence
The Cosmic Tide,Shylmagoghnar,Emergence
A New Dawn,Shylmagoghnar,Emergence
The Sun No Longer,Shylmagoghnar,Emergence
Fullmoon Over Faerhaaven,Lamentation,Fullmoon Over Faerhaaven
Mute,Native Construct,Quiet World
The Spark of the Archon,Native Construct,Quiet World
Passage,Native Construct,Quiet World
Your Familiar Face,Native Construct,Quiet World
Come Hell or High Water,Native Construct,Quiet World
Chromatic Lights,Native Construct,Quiet World
Chromatic Aberration,Native Construct,Quiet World
Plateau of the Ages,Agalloch,The Serpent & the Sphere
Tales of the Destinies,BABYMETAL,Metal Resistance
Amay Dekona,Lucky Akhand,
Army Of Stone,Wind Rose,Warfront
From Scythe to Sceptre,Be’lakor,Stone's Reach
Voice of the Soul,Death,The Sound of Perseverance
Fighting Myself,Linkin Park,Meteora (20th anniversary edition)
Embodied Deception,Fleshgod Apocalypse,Oracles
Enter Vril-Ya,Therion,Deggial
Moonlit Meadow,Lustre,Wonder
Aaj Raate Kono Rupkotha Nei,Md. Mobassher Choudhury,
Deviens la nuit,Vestige,Deviens La Nuit
"Reeds and Seeds, a Plants Vs. Zombies Jazz Album",,
Light's Theme,Death Note OST I,
Bloom (Guitar Playthrough),Dios,
Madeline and Theo,Lena Raine,Celeste Original Soundtrack
Neel Hobo,Vikings,Neel Hobo
Where Is My Mind?,Pixies,Surfer Rosa
Paint It Black,The Rolling Stones,Aftermath
California Dreamin’,The Mamas & the Papas,If You Can Believe Your Eyes and Ears
Mountain Magick,Wolves In The Throne Room,Primordial Arcana
Spirit of Lightning,Wolves In The Throne Room,Primordial Arcana
Through Eternal Fields,Wolves In The Throne Room,Primordial Arcana
Primal Chasm (Gift of Fire),Wolves In The Throne Room,Primordial Arcana
Underworld Aurora,Wolves In The Throne Room,Primordial Arcana
Masters of Rain and Storm,Wolves In The Throne Room,Primordial Arcana
Eostre,Wolves In The Throne Room,Primordial Arcana
Skyclad Passage,Wolves In The Throne Room,Primordial Arcana
Priyotamo Ki Likhi Tomay,Nishita Barua,
Purnota,Warfaze,Shotto
Ek Akash Tara,Ayub Bacchu,Ek Akash Tara
Sanson Ki Mala Pe (Metal Arrangement),Fateh Ali Khan,
Jontrona,Mohon Sharif,Jontrona
TOMBSTONE,Wage War,STIGMA
The Angler's Dream Vinyl Rip,River Master,The Angler's Dream Vinyl Rip
Home,Three Days Grace,Three Days Grace
Leave Her Johnny,"Michel Schrey, Nils Brown, and Seán Dagher",Assassin's Creed 4: Black Flag (Sea Shanty Edition)
Bones in the Ocean,The Longest Johns,Made Of Ale Sessions
Prisoner,Montfaucon,Renaissance
Sins of Our Creations,Nothnegal,Decadence
Lai Lai Hei,Ensiferum,Iron
Moments Lost In Time,IRONSTONE,Moments Lost In Time
Mother Russia,Iron Maiden,No Prayer for the Dying
Nostalgia,Nocturnal Depression,Nostalgia
Frustrated,Blade and Bath,Rotten in Loneliness
Carry On Wayward Son,Kansas,Dust in the Wind
(Don't Fear) The Reaper,Blue Öyster Cult,Agents of Fortune
Caverns,Thank You Scientist,Stranger Heads Prevail
Fields of Gold,Stalled,Dust Inside a Dream
Her Ghost Haunts These Walls,Nocturnal Depression,Deathcade
Slow Chemical,Finger Eleven,The Punisher: The Album
I Saw the End,Pallbearer,Heartless
Blurry,Puddle of Mudd,Come Clean
Jurassic | Cretaceous,The Ocean,Phanerozoic II: Mesozoic | Cenozoic
Anesthetize,Porcupine Tree,Anesthetize
Awakening in an Ancient Realm,MURGRIND,Inheritor of the Forest Throne
Across a Barbarian Village,MURGRIND,Inheritor of the Forest Throne
Far Winds beyond the Mountains,MURGRIND,Inheritor of the Forest Throne
The Northern Oracle,MURGRIND,Inheritor of the Forest Throne
Reach for the Stars,MURGRIND,Inheritor of the Forest Throne
Arrival at the Wooden Gates,MURGRIND,Inheritor of the Forest Throne
Source of Might,MURGRIND,Inheritor of the Forest Throne
Inheritor of the Forest Throne,MURGRIND,Inheritor of the Forest Throne
Leaving alongside the Rivers,MURGRIND,Inheritor of the Forest Throne
Path of Immortality,MURGRIND,Inheritor of the Forest Throne
Apolap,Black,Agontuk
Biday ,Cryptic Fate,Agontuk
The Dyatlov Pass Incident,Antlers,Hypothermia
The Last Song,12 Stones,Potter’s Field
Confide in Me,Kylie Minogue,Kylie Minogue
BCKYRD,Hot Mulligan,you'll be fine
Neverending Night,Toby Fox,DELTARUNE Soundtrack
Annihilation of the Wicked,Nile,Annihilation of the Wicked
The Red,Chevelle,Wonder What's Next
Drain of Incarnation,Archspire,Bleed The Future
Lumière,Lorien Testard,Clair Obscur: Expedition 33 (Original Soundtrack)
Fine Again,Seether,Fragile
Born Is the Enemy,Daysend,Severance
Ignorance of Bliss,Daysend,Severance
The Blood of Angels,Daysend,Severance
Countdown,Daysend,Severance
Prism of You,Daysend,Severance
End of Days,Daysend,Severance
Severance Day,Daysend,Severance
Sellout,Daysend,Severance
September,Daysend,Severance
Beggars with Knives,Daysend,Severance
Sibling,Daysend,Severance
Kaval sviri,Bulgarian folklor,Severance
Layla,Derek & The Dominos,Layla and Other Assorted Love Songs
Nuclear,Mike Oldfield,Man on the Rocks
Waiting For You,Akira Yamaoka,Silent Hill 4 OST
Join Me in Death,HIM,Razorblade Romance
Lateralus,Tool,Lateralus
Forty Six & 2,Tool,Ænima
Feed the Wolf,Breaking Benjamin,Ember
Obak Bhalobasha,Warfaze,Pothchola
O Castigo Vem a Cavalo,Kaatayra,Toda História pela Frente
Toda Mágoa do Mundo,Kaatayra,Toda História pela Frente
Miséria da Sabedoria,Kaatayra,Toda História pela Frente
Matir Roud,Aftermath,Jed
Some Like It Cold,Hopes Die Last,Six Years Home
Scene Seven: I. The Dance of Eternity,Dream Theater,Metropolis Pt. 2: Scenes from a Memory
Blackhole,Architects,"The Sky, The Earth & All Between"
Far From Where Dreams Unfurl,Wilderun,Veil of Imagination
Decima,Katatonia,The Fall of Hearts
Azagthoth,Alkaloid,Liquid Anatomy
Pareidolia,Haken,The Mountain
To the Sinking,The Man-Eating Tree,
The Battle of the Five Armies,Wind Rose,
Desert Urbania,Unexpect,In a Flesh Aquarium
Hate Bein' Sober,Chief Keef,
Yötön Yö,Alan Wake,Alan Wake 2 OST Official Soundtrack
Time of Dying,Three Days Grace,One-X
Shape of My Heart,Sting,Sacred Love
Herald of Darkness,Old Gods of Asgard,Alan Wake 2 OST Official Soundtrack
The Silent Forest,Halocraft,The Sky Will Remember / To Leave a Single Wolf Alive
Imaginary,Evanescence,Origin
Never Too Late,Three Days Grace,Never Too Late
Tormenta De Fuego,,
In The Androgynous Dark,Brambles,Charcoal
Esho Brishti Namai,Habib Wahid,
60's Love,Level Five,Obosheshey
Srotoshinni,Encore,
Ke Dekher Kotha Ke Dekchi,Hyder Husyn,
Faisa Gechi,Hyder Husyn,
Dil Ki Doya,Paban Das Baul,
Husks,Be’lakor,Stone's Reach
Capricorn / Agoratopia,Rivers of Nihil,Where Owls Know My Name
Death Is Real,Rivers of Nihil,Where Owls Know My Name
Hollow,Rivers of Nihil,Where Owls Know My Name
Amusement Park Theme,Keiichi Okabe,Nier Automata Official Soundtrack
All in My Head,Smile Empty Soul,Shapeshifter
Silhouettes,Smile Empty Soul,Smile Empty Soul
Bleak Remembrance,Evadne,Dethroned Of Our Souls
Battlefield,Jordin Sparks,Battlefield
Schism,Tool,Lateralus
Screaming at Forgotten Fears,Xasthur,To Violate the Obvious
This Fire,Killswitch Engage,As Daylight Dies
Battle On,War Of Ages,
Begin,Injury,No Promises Made
Kletka,Molchat Doma,Etazhi
Carnivore,Starset,Carnivore
Tears Don’t Fall,Bullet for My Valentine,The Poison
Backburner,August Burns Red,
Shadow Moses,Bring Me the Horizon,
Virtual Diva,Don Omar,
"if System of a Down wrote ""FIREFLIES"" by Owl City",mac glocky,
Hydrogen,Halocraft,The Sky Will Remember
Obhoy,Artcell,Obhoy
Bleed,Meshuggah,Obzen
Selkies: The Endless Obsession,Between the Buried and Me,Alaska
from Despair to Hope,Story of Hope,Historia EP
Opshori,Artcell,Anushilon
Magnolia,Deafheaven,Lonely People With Power
Rewind,Leprous,The Congregation
Oblivion,Mastodon,Crack the Skye
Personal Forest,Psychonaut 4,Dipsomania
Mental Central Dialog,Lifelover,Konkurs
Echo Stasis,Silent Vice,Echo Stasis
Je Shohore Ami Nei,Bay of Bengal,Nirob Durvikkho
Before I Forget,Slipknot,
King for a Day,Pierce the Veil,
Sun//Eater,Lorna Shore,Pain Remains
Tunnel Vision,Kodak Black,
Acid Ke,Stoic Bliss,
The Sunset of Life,Austere,Beneath the Threshold
Murder,Dawn Of Solace,Affliction Vortex
Void in Blue,Glare,Into You / Void in Blue
My Sleeping Heart,Story of Hope,Fairy Dance
My Band,D12,
Inn Ann,Daboor,El Gad3ana
Still I Bleed,Antonamasia,Keeping Nothing
Bishonno Adhar,Stentorian,Agontuk 3
Bangladesh Smriti O Amra,Artcell,Agontuk 3
Chile Kothar Shepai,Artcell,Agontuk 2
Rahur Grash,Artcell,Onno Somoy
Bhul Jonmo,Artcell,Onno Somoy
Onnosomoy,Artcell,Onno Somoy
Dhushor Shomoy,Artcell,Oniket Prantor
Pothchola,Artcell,Onno Somoy
Oniket Prantor,Artcell,Oniket Prantor
Bandolero,Don Omar,Los Bandoleros
Blood Splattered Satisfaction,Waking the Cadaver,Perverse Recollections of A Necromangler
Pistoler Jibon,Uptown Lokolz,Kahini Scene Paat
Grandma,Keiichi Okabe,Nier Replicant Official Soundtrack
Believer,Myrath,
Zombies,Traverse the Abyss,
Proticchobi,Bagdhara,Proticchobi
Lithic,Voidhaven,
Bury Me,Violent New Breed,
I Am the Lion,Phinehas,Phinehas
Six Feet Under,Kissin' Dynamite,
an Effect of Fate,fripSide,infinite Resonance
Decade,fripSide,
Cry of the Last Mammoth,Antlers,
Chena Jogot,Vibe,Chena Jogot
Crystal Mountain,Death,
Shopnodeb,Vibe,Chena Jogot
Vicinity of Obscenity,System of a Down,Hypnotize
I Hate the Sound of Car Keys,Kaonashi,
Chitkar,Shohorbondee,
The Trooper,Iron Maiden,
Nigh To Her Gloam,Aquilus,
Beneath the Threshold,Austere,
Duality,Slipknot,
Angels Also Die...,Wine From Tears,Through The Eyes Of A Mad
Since I Fell...,Wine From Tears,Through The Eyes Of A Mad
The Sinner,Wine From Tears,Through The Eyes Of A Mad
Funeral Time,Wine From Tears,Through The Eyes Of A Mad
Night of a Succubus,Wine From Tears,Through The Eyes Of A Mad
Close To Katatonia,Wine From Tears,Through The Eyes Of A Mad
Bless Me Bleeding Angels,Wine From Tears,Through The Eyes Of A Mad
The Secret Of The Woods,Wine From Tears,Through The Eyes Of A Mad
Before The Gods,Wine From Tears,Through The Eyes Of A Mad
Feeding The Angel,Wine From Tears,Through The Eyes Of A Mad
My Tears,Wine From Tears,Through The Eyes Of A Mad
Meus Altius Pater Noster,Wine From Tears,Through The Eyes Of A Mad
It’s Not Safe to Swim Today,Veil of Maya,The Common Man’s Collapse
Dark Legacy,Black Lava,The Savage Winds To Wisdom
Only the Wind Remembers,Austere,Only the Wind Remembers
Oshomapto Shantona,Artcell,Otritio
Deliver Me,Parkway Drive,Deep Blue
Breath,Breaking Benjamin,Dear Agony
Tourniquet,Evanescence,
Awaken,Dethklok,The Dethalbum
The Arms of Sorrow,Killswitch Engage,As Daylight Dies
Soldier Side,System of a Down,
Virtus Asinaria - Prayer,Belphegor,The Devils
Blackbirds,Linkin Park,
Everybody’s Fool,Evanescence,
Sayonee,Junoon,Jeet Lo Dil
Sleepwalker,Parkway Drive,Deep Blue
Deadweight,Parkway Drive,Deep Blue
Alone,Parkway Drive,Deep Blue
Karma,Parkway Drive,Deep Blue
Wreckage,Parkway Drive,Deep Blue
Home Is for the Heartless,Parkway Drive,Deep Blue
Anmone,Aurthohin,Aushomapto 2
...and the Mirror Cracked,Disillusion,Back To Times Of Splendor
Fall,Disillusion,Back To Times Of Splendor
Alone I Stand in Fires,Disillusion,Back To Times Of Splendor
Back to Times of Splendor,Disillusion,Back To Times Of Splendor
A Day by the Lake,Disillusion,Back To Times Of Splendor
The Sleep of Restless Hours,Disillusion,Back To Times Of Splendor
Easing the Pain,Sabhankra,Seers Memoir
Blind Leading the Blind,Trivium,Silence in the Snow
What Have You Done,Within Temptation,
The Clearcut,Alda,Passage
Passage,Alda,Passage
Weathering,Alda,Passage
The Crooked Trail,Alda,Passage
Animis,Alda,Passage
Hate File,Harbinger,
Brainwashing,DEXCORE,
Follow the Plaguelord Pt II: The Harbinger Ov Pestilence,Empyrean Throne,Chaosborne
First Light,Alda,A Distant Fire
Stonebreaker,Alda,A Distant Fire
Drawn Astray,Alda,A Distant Fire
Forlorn Peaks,Alda,A Distant Fire
Loo-Wit,Alda,A Distant Fire
A Distant Fire,Alda,A Distant Fire
I Hope She Sees This (Acoustic),For When You Can't Breathe,
Petrichor,Lustre,Wonder
"Закрой за мной дверь, я ухожу",Кино,Ночь
Smile Again,Chaoseum,Second Life
VOY,Stentorian,Din Bodol
Stop Saying We Sound Like Dragonforce,Fraser Edwards,
Кукушка,Кино,Чёрный альбом
Megitsune,BABYMETAL,
Undefeatable,Tomoya Ohtani,Sonic Frontiers OST
Icarus,Bastille,
Forfeit,Shape of Despair,Return to the Void
I Was Buried in Mount Pleasant Cemetery,Woods of Ypres,
Maya Shakti,My Sleeping Karma,Atma
Prema,My Sleeping Karma,Atma
Mukti,My Sleeping Karma,Atma
Avatara,My Sleeping Karma,Atma
Pralaya,My Sleeping Karma,Atma
Ananda,My Sleeping Karma,Atma
The Ritualist,Reliqa,I Don’t Know What I Am
Ashes of the Dawn,DragonForce,
The Kingdom Sitteth Lonely Beneath Thine Hollowed Heavens,Infant Annihilator,
Beyond the Realms of God,Outlaw,Reaching Beyond Assiah
I Will Die With Your Love,Sabhankra,Revenge
Itihash,Aurthohin,Agontuk 3
Plastic Love,Mariya Takeuchi,
In Dying Days,As Blood Runs Black,
Corridors of Time,Yasunori Mituda,
La Isla Bonita,Madonna,
Mrito,Icons,Ishshoronio
In the Wake of an Iron Wind,Alda,Tahoma
Adrift,Alda,Tahoma
Tearing of the Weave,Alda,Tahoma
Shadow of the Mountain,Alda,Tahoma
Wandering Spirit,Alda,Tahoma
Heritage of the Natural Realm,Sojourner,Empires of Ash
I Was Never There,Dawn of Solace,The Darkness
This Calling,All That Remains,The Fall of Ideals
Idol Hands,Kmac2021,Idol Hands
Ellipse,Oh Hiroshima,In Silence We Yearn
Mirage,Oh Hiroshima,In Silence We Yearn
Ruach,Oh Hiroshima,In Silence We Yearn
Holding Rivers,Oh Hiroshima,In Silence We Yearn
Aria,Oh Hiroshima,In Silence We Yearn
Drones,Oh Hiroshima,In Silence We Yearn
Scene Nine: Finally Free,Dream Theater,Metropolis Pt. 2: Scenes from a Memory
Kiss My Ashes,Woods of Ypres,Woods 5: Grey Skies & Electric Light
A.U.M.,Archspire,Bleed The Future
Apology,Alesana,Try This With Your Eyes Closed
Wait for Sleep,Dream Theater,Images and Words
Another World,Gojira,Fortitude
The Gift of Guilt,Gojira,Magma
Wish You Were Here,Incubus,
Burning From Both Ends,Harakiri for the Sky,Aokigahara
