title,artist,track,album
Shylmagoghnar - Emergence (Full Album) (OFFICIAL),Shylmagoghnar,,
Fullmoon Over Faerhaaven,Lamentation,Fullmoon Over Faerhaaven,Fullmoon Over Faerhaaven
NATIVE CONSTRUCT - QUIET WORLD [FULL ALBUM],squidvicious,,
Agalloch - Plateau of the Ages,.Tuønela Denisse.,,
BABYMETAL - Tales of the Destinies (Official Audio),BabyMetal S - A,,
Lucky Akhand - Amay Dekona | Lyric Video | A tribute to Lucky Akhand,Listen with Lyrics,,
WIND ROSE - Army Of Stone (Official Video) | Napalm Records,Napalm Records,,
Be'lakor - From Scythe to Sceptre,Pamplemousse,,
Voice of the Soul - DEATH (Synthwave),BLAIDD,,
Linkin Park - Fighting Myself (Official Audio),Linkin Park,,
Fleshgod Apocalypse - Embodied Deception,DeadKraken95,,
Enter Vril-Ya,Therion,Enter Vril-Ya,Deggial
Lustre - Moonlit Meadow,VallhalaMetalD,,
Aaj Raate Kono Rupkotha Nei | Old School | আজ রাতে কোনো রূপকথা নেই | Mobassher Choudhury,Md. Mobassher Choudhury,,
"𝐕𝐄𝐒𝐓𝐈𝐆𝐄 - ""Deviens La Nuit"" (Official Music Video)",Season of Mist,,
Avenged Sevenfold - Chapter Four,Hopeless Records,,
"Reeds and Seeds, a Plants Vs. Zombies Jazz Album | Official Album Stream",Ruscel Torres,,
"Death Note OST I - ""Light's Theme""",S Suzuki,,
Dios - Bloom (Guitar Playthrough),Ichika Nito,,
[Official] Celeste Original Soundtrack - 13 - Madeline and Theo,Lena Raine,,
Neel Hobo I Vikings | Official Music Video,Vikings,,
Pixies - Where Is My Mind? (Official Lyric Video),PixiesOfficial,,
"The Rolling Stones - Paint It, Black (Official Lyric Video)",ABKCOVEVO,,
Be'lakor - Abeyance piano cover (self-transcription),Emma Chiu,,
California Dreamin',The Mamas & The Papas,California Dreamin',If You Can Believe Your Eyes & Ears
WOLVES IN THE THRONE ROOM - Primordial Arcana [Full Album Stream],Wolves in the Throne Room,,
Priyotamo Ki Likhi Tomay,Nishita Barua,Priyotamo Ki Likhi Tomay,Retro Cool - Bengali Vol-9
Warfaze - Purnota,Warfaze,,
Ek Akash Tara | Shawkat Ft. Ayub Bachchu | আইয়ুব বাচ্চু | এক আকাশ তারা | Music Video,Sangeeta Music,,
Legendary Pakistani Singer goes Metal [Sanson Ki Mala Pe - Nusrat Fateh Ali Khan],Andre Antunes,,
Jontrona | Nodorai | Mohon Sharif | Bangla Movie Song 2019 (Official Soundtrack),Show Motion Entertainment,,
TOMBSTONE,Wage War,TOMBSTONE,STIGMA
River Master – The Angler's Dream Vinyl Rip,Huappy Spins,,
Enchanter - Dragon Age: Inquisition OST - Tavern song,Hikaru Kuma,,
Three Days Grace - Home (Official Video),Three Days Grace,,
Leave Her Johnny (Sea Shanty with lyrics) | Assassin's Creed 4: Black Flag (OST),Ubisoft Music,,
Bones In The Ocean,The Longest Johns,Bones In The Ocean,Bones In The Ocean
Montfaucon - Prisoner (Official track video),Montfaucon official,,
Nothnegal - Sins Of Our Creations,Season of Mist,,
Lai Lai Hei,Ensiferum,Lai Lai Hei,Iron
IRONSTONE - Moments Lost In Time (Official Video),IRONSTONE,,
Mother Russia (2015 Remaster),Iron Maiden,Mother Russia (2015 Remaster),No Prayer for the Dying
Nostalgia,Nocturnal Depression,Nostalgia,Deathcade
Frustrated,Blade and Bath,Frustrated,Rotten in Loneliness
Kansas - Carry On Wayward Son (Official Audio),KANSAS,,
Blue Oyster Cult - (Don't Fear) The Reaper (Official Audio),BLUE OYSTER CULT,,
Caverns,Thank You Scientist,Caverns,Stranger Heads Prevail
Fields of Gold,Stalled,Fields of Gold,Dust Inside a Dream
Her Ghost Haunts These Walls,Nocturnal Depression,Her Ghost Haunts These Walls,Deathcade
Finger Eleven - Slow Chemical (Official Visualizer) - from GREATEST HITS,Finger Eleven,,
