,title,,,,
"tiVq7IGYG1c","Winter's Majesty","Nox Arcana - Topic","2022-04-17","2018-05-23","https://i.ytimg.com/vi/tiVq7IGYG1c/hqdefault.jpg"
"thCxUo37PXw","From Past to Present","Jeremy Soule - Topic","2022-04-17","2017-02-24","https://i.ytimg.com/vi/thCxUo37PXw/hqdefault.jpg"
"fjmms3DQrCI","The Talos Principle - Soundtrack :: 24 Heavenly Clouds","GameOST","2022-04-17","2015-07-04","https://i.ytimg.com/vi/fjmms3DQrCI/hqdefault.jpg"
"Lmi2kLH9aL8","The Talos Principle OST   16   Your Wisdom Grows","Damjan Mravunac","2022-04-17","2014-12-12","https://i.ytimg.com/vi/Lmi2kLH9aL8/hqdefault.jpg"
"k-gF77uvf0I","The Gateway","Andrew Hulshult - Topic","2022-04-17","2020-02-12","https://i.ytimg.com/vi/k-gF77uvf0I/hqdefault.jpg"
"U-tWqEod9Ig","Ori, Lost In the Storm (feat. Aeralie Brighton)","Gareth Coker - Topic","2022-04-17","2016-03-24","https://i.ytimg.com/vi/U-tWqEod9Ig/hqdefault.jpg"
"VucJqYqNex4","Fief - Soul of a Nameless Bard","p oops","2022-04-17","2019-01-31","https://i.ytimg.com/vi/VucJqYqNex4/hqdefault.jpg"
"qL7b-IQgeJY","Fief  - Medieval Breeze","p oops","2022-04-17","2019-01-31","https://i.ytimg.com/vi/qL7b-IQgeJY/hqdefault.jpg"
"nPekL9oJBvE","Fief  - Dawnlight Warms the Castle Stone","p oops","2022-04-17","2019-01-31","https://i.ytimg.com/vi/nPekL9oJBvE/hqdefault.jpg"
"tNB-r4-7bjo","Fief  - Peddling Poition","p oops","2022-04-17","2019-01-31","https://i.ytimg.com/vi/tNB-r4-7bjo/hqdefault.jpg"
"AQ8tQXhOyis","Fief - Good Inn","p oops","2022-04-17","2019-01-31","https://i.ytimg.com/vi/AQ8tQXhOyis/hqdefault.jpg"
"PJygqIJPpjI","Elador - Through Forests, Lakes and Rivers","tstampedspear","2022-04-17","2014-01-07","https://i.ytimg.com/vi/PJygqIJPpjI/hqdefault.jpg"
"MU8url8k-8w","Över frusen mark - II","Örnatorpet - Topic","2022-04-17","2019-01-10","https://i.ytimg.com/vi/MU8url8k-8w/hqdefault.jpg"
"4Un4UIdo9HA","Elmshore","Justin Bell - Topic","2022-04-17","2015-10-18","https://i.ytimg.com/vi/4Un4UIdo9HA/hqdefault.jpg"
"KSujx7MNhyQ","Kyne's Peace","Jeremy Soule - Topic","2022-04-17","2017-02-24","https://i.ytimg.com/vi/KSujx7MNhyQ/hqdefault.jpg"
"V6lWntKl588","The Streets of Whiterun","Jeremy Soule - Topic","2022-04-17","2017-02-24","https://i.ytimg.com/vi/V6lWntKl588/hqdefault.jpg"
"iqkQRgGdAPo","Secunda","Jeremy Soule - Topic","2022-04-17","2017-02-24","https://i.ytimg.com/vi/iqkQRgGdAPo/hqdefault.jpg"
"2aIynRhhA-s","Der Tod Wuotans","Burzum - Topic","2022-04-17","2014-11-20","https://i.ytimg.com/vi/2aIynRhhA-s/hqdefault.jpg"
"pkF9atEJAoY","Solbjorg (Sunset)","Burzum - Topic","2022-04-17","2014-11-08","https://i.ytimg.com/vi/pkF9atEJAoY/hqdefault.jpg"
"Sk5xZ1Tov60","The Portal","Burzum - Topic","2022-04-17","2018-06-11","https://i.ytimg.com/vi/Sk5xZ1Tov60/hqdefault.jpg"
"lf5jNze9lbQ","To Hel and Back Again","Burzum - Topic","2022-04-17","2018-06-11","https://i.ytimg.com/vi/lf5jNze9lbQ/hqdefault.jpg"
"kgUvFFPsCBc","Quest Master - The Twelve Temples (2021) (Dungeon Synth)","The Dungeon Synth Archives","2022-04-17","2021-12-20","https://i.ytimg.com/vi/kgUvFFPsCBc/hqdefault.jpg"
"yKLfvt6CZCY","Peace Of Akatosh ~ The Elder Scrolls IV: Oblivion","Saskidan","2022-04-17","2011-02-05","https://i.ytimg.com/vi/yKLfvt6CZCY/hqdefault.jpg"
"qEC8V-lVcGQ","Quest Master - The Twelve Castles (2020) (Dungeon Synth)","The Dungeon Synth Archives","2022-04-17","2020-08-29","https://i.ytimg.com/vi/qEC8V-lVcGQ/hqdefault.jpg"
"Pg9FBzUorkQ","Forest Mist","Vindkaldr - Topic","2022-04-17","2021-11-18","https://i.ytimg.com/vi/Pg9FBzUorkQ/hqdefault.jpg"
"-hHGmqpcm0w","Embers of Burning Light","Vindkaldr - Topic","2022-04-17","2021-11-18","https://i.ytimg.com/vi/-hHGmqpcm0w/hqdefault.jpg"
"PEC_klV2YOI","The Fairy That Disappeared","Vindkaldr - Topic","2022-04-17","2021-11-18","https://i.ytimg.com/vi/PEC_klV2YOI/hqdefault.jpg"
"REKXBRjp_E4","Never Forgotten","Christoffer Moe Ditlevsen - Topic","2022-04-17","2021-08-05","https://i.ytimg.com/vi/REKXBRjp_E4/hqdefault.jpg"
"pXLaVQ4YgzQ","Christoffer Moe Ditlevsen - The Traveller (Royalty Free Music)","Epidemic","2022-04-17","2021-03-08","https://i.ytimg.com/vi/pXLaVQ4YgzQ/hqdefault.jpg"
"8uBxBAVVrKs","Yonder Dale - The Wisdom Of Trees","Epidemic Relax","2022-04-17","2019-04-05","https://i.ytimg.com/vi/8uBxBAVVrKs/hqdefault.jpg"
"rsXPkPZRPJU","Maps","August Wilhelmsson - Topic","2022-04-17","2018-10-24","https://i.ytimg.com/vi/rsXPkPZRPJU/hqdefault.jpg"
"UDH6sgORsc4","Daniel Kaede - A Letter from the Caspian Sea","Epidemic Acoustic","2022-04-17","2020-07-07","https://i.ytimg.com/vi/UDH6sgORsc4/hqdefault.jpg"
"B9WhjfS-BO8","Dance of the Elves","Vindkaldr - Topic","2022-04-17","2021-11-18","https://i.ytimg.com/vi/B9WhjfS-BO8/hqdefault.jpg"
