,title,,,,
"15mxiWAYSEw","Parkway Drive - ""Sleepwalker""","Epitaph Records","2024-06-23","2010-06-04","https://i.ytimg.com/vi/15mxiWAYSEw/hqdefault.jpg"
"Jj1FgS885NE","Parkway Drive - ""Deadweight"" (Full Album Stream)","Epitaph Records","2024-06-23","2014-07-22","https://i.ytimg.com/vi/Jj1FgS885NE/hqdefault.jpg"
"F8st3FGJ0qA","Parkway Drive - ""Alone"" (Full Album Stream)","Epitaph Records","2024-06-23","2014-07-22","https://i.ytimg.com/vi/F8st3FGJ0qA/hqdefault.jpg"
"ei5hEyBnRF4","Parkway Drive - ""Deliver Me"" (Full Album Stream)","Epitaph Records","2024-06-23","2014-07-22","https://i.ytimg.com/vi/ei5hEyBnRF4/hqdefault.jpg"
"CeetS4vERoo","Parkway Drive - ""Karma""","Epitaph Records","2024-06-23","2011-04-07","https://i.ytimg.com/vi/CeetS4vERoo/hqdefault.jpg"
"03VXr4me1X0","Overburdened","Disturbed - Topic","2024-06-23","2015-09-01","https://i.ytimg.com/vi/03VXr4me1X0/hqdefault.jpg"
"PXc5ThGlQ2c","Parkway Drive - ""Wreckage"" (Full Album Stream)","Epitaph Records","2024-06-23","2014-07-22","https://i.ytimg.com/vi/PXc5ThGlQ2c/hqdefault.jpg"
"-VF4ObZEM8w","Parkway Drive - ""Home Is For The Heartless"" (Full Album Stream)","Epitaph Records","2024-06-23","2014-07-22","https://i.ytimg.com/vi/-VF4ObZEM8w/hqdefault.jpg"
"vWI2dkP4gh0","Anmone 2 (আনমনে-২) - Aurthohin | Aushomapto 2","Aurthohin","2024-06-23","2023-06-29","https://i.ytimg.com/vi/vWI2dkP4gh0/hqdefault.jpg"
"GVcY--XzeIc","Disturbed - Stupify [Official Music Video]","Disturbed","2024-06-19","2009-10-27","https://i.ytimg.com/vi/GVcY--XzeIc/hqdefault.jpg"
"EqAtk5D1R1Y","Путь - Песни смерти (Full Album)","Atmospheric Black Metal Albums","2024-04-03","2018-12-13","https://i.ytimg.com/vi/EqAtk5D1R1Y/hqdefault.jpg"
"YtpPG5P-yy4","Back To Times Of Splendor - Disillusion (FULL ALBUM)","Neurotripsicks","2024-04-02","2015-07-26","https://i.ytimg.com/vi/YtpPG5P-yy4/hqdefault.jpg"
"bFRgAMk3C7c","Easing The Pain","Sabhankra - Topic","2024-04-01","2020-03-24","https://i.ytimg.com/vi/bFRgAMk3C7c/hqdefault.jpg"
"cZ5K_IZeWVI","Nocturnal Reckoning","Eüreka - Topic","2024-04-01","2023-07-27","https://i.ytimg.com/vi/cZ5K_IZeWVI/hqdefault.jpg"
"MYE0bEcSGM8","Tourist","RJ Pasin - Topic","2024-04-01","2024-01-04","https://i.ytimg.com/vi/MYE0bEcSGM8/hqdefault.jpg"
"uVpU-OXrg1c","Trivium - Blind Leading The Blind [OFFICIAL VIDEO]","Trivium","2024-04-01","2015-08-20","https://i.ytimg.com/vi/uVpU-OXrg1c/hqdefault.jpg"
